Ib,gap_mm,D_mm,t,height_in,config,Iameas,D_in,IEmeas,joules,energyratio
19.14,114.3,838.2,200.0,26,IEEE HCB,18.35658182,33.0,9.7,3.365152e6,2.882484951645572
9.62,114.3,1047.75,99.83333333,26,IEEE HCB,9.202632144,41.25,1.11,1.021938e6,1.0861715681381845
9.62,114.3,1047.75,200.0,26,IEEE HCB,9.179568208,41.25,2.79,1.831435e6,1.5233955887050319
9.62,114.3,838.2,99.33333333,26,IEEE HCB,9.21045478,33.0,2.17,1.033465e6,2.0997324534454482
9.62,114.3,838.2,200.0,26,IEEE HCB,9.175500312,33.0,4.78,1.788938e6,2.6719763345627405
9.62,114.3,609.6,99.83333333,26,IEEE HCB,9.174836961,24.0,7.53,1.016361e6,7.4087848707299875
9.62,114.3,609.6,200.0,26,IEEE HCB,9.215846601,24.0,13.5,1.704304e6,7.921122053342596
9.62,76.2,1047.75,100.1666667,26,IEEE HCB,9.251596125,41.25,1.22,933138.0,1.3074164807348967
9.62,76.2,1047.75,200.0,26,IEEE HCB,9.247866238,41.25,2.26,1.59258e6,1.4190809880822313
9.62,76.2,838.2,100.6666667,26,IEEE HCB,9.24812504,33.0,1.92,882647.0,2.175275053333892
9.62,76.2,838.2,200.0,26,IEEE HCB,9.209139826,33.0,4.19,1.554e6,2.696267696267696
9.62,76.2,609.6,100.0,26,IEEE HCB,9.271675573,24.0,3.04,876595.0,3.4679641111345605
9.62,76.2,609.6,200.0,26,IEEE HCB,9.251367952,24.0,8.31,1.538141e6,5.40262563705148
19.14,76.2,1047.75,100.0,26,IEEE HCB,18.3478733,41.25,2.43,1.711826e6,1.4195367987166922
19.14,76.2,1047.75,200.0,26,IEEE HCB,18.28472117,41.25,4.83,3.019848e6,1.599418248865506
19.14,76.2,838.2,100.3333333,26,IEEE HCB,18.27005794,33.0,3.88,1.663019e6,2.3331062363087853
19.14,76.2,838.2,200.0,26,IEEE HCB,18.53622408,33.0,9.26,3.011633e6,3.07474383498919
19.14,76.2,609.6,100.0,26,IEEE HCB,18.49207999,24.0,7.73,1.636172e6,4.724442173561215
19.14,76.2,609.6,200.0,26,IEEE HCB,18.48656235,24.0,18.2,2.815929e6,6.463231139705582
32.83,76.2,609.6,100.0,26,IEEE HCB,30.69245814,24.0,15.6,2.689334e6,5.80069266219815
32.83,76.2,609.6,200.0,26,IEEE HCB,30.83224884,24.0,37.1,4.7182e6,7.8631681573481425
32.83,76.2,838.2,100.0,26,IEEE HCB,30.646806,33.0,7.2,2.742066e6,2.6257573668905123
32.83,76.2,838.2,200.0,26,IEEE HCB,30.65067585,33.0,15.2,5.257207e6,2.8912690712007345
10.56,95.25,1193.8,104.35,36,IEEE HCB,9.947053368,47.0,1.0935,1.375565315e6,0.7949458946629516
10.56,95.25,1193.8,206.32,36,IEEE HCB,9.869485067,47.0,2.754,2.549419015e6,1.08024612031067
10.56,95.25,990.6,104.21,36,IEEE HCB,9.933270288,39.0,1.6605,1.336704795e6,1.2422338920389675
10.56,95.25,990.6,205.98,36,IEEE HCB,9.892790897,39.0,4.158,2.436835962e6,1.7063109970633308
10.56,95.25,787.4,103.97,36,IEEE HCB,9.991615803,31.0,2.6865,1.428710121e6,1.8803674450907037
10.56,95.25,787.4,206.32,36,IEEE HCB,9.909821828,31.0,6.7635,2.64804764e6,2.5541458914236146
20.41,95.25,1193.8,104.21,36,IEEE HCB,19.462293,47.0,2.754,2.723936268e6,1.0110368705586763
20.41,95.25,1193.8,207.12,36,IEEE HCB,19.90767944,47.0,6.102,4.745105384e6,1.2859566871950425
20.41,95.25,990.6,105.06,36,IEEE HCB,19.44686417,39.0,3.672,1.887374614e6,1.9455597064632342
20.41,95.25,990.6,207.87,36,IEEE HCB,19.89856986,39.0,8.4645,4.660360686e6,1.8162757284919728
20.41,95.25,787.4,104.11,36,IEEE HCB,19.46460042,31.0,5.5485,2.167276304e6,2.56012580849036
20.41,95.25,787.4,208.33,36,IEEE HCB,19.90423741,31.0,13.9455,4.612043026e6,3.023714202444216
39.18,95.25,1193.8,106.46,36,IEEE HCB,38.42851038,47.0,4.698,5.490537962e6,0.8556538598794593
39.18,95.25,1193.8,212.32,36,IEEE HCB,37.73790455,47.0,11.5155,9.871260208e6,1.166568377021148
39.18,95.25,990.6,106.16,36,IEEE HCB,38.40992155,39.0,8.073,5.503141693e6,1.4669802179124085
39.18,95.25,990.6,205.78,36,IEEE HCB,37.78164301,39.0,15.255,1.002719773e7,1.5213622400562754
39.18,95.25,787.4,106.39,36,IEEE HCB,38.4493045,31.0,12.9465,5.660619214e6,2.287117276495186
39.18,95.25,787.4,213.03,36,IEEE HCB,37.75513429,31.0,26.244,1.013731832e7,2.5888503420301
10.8,76.2,1193.8,111.34,36,IEEE HCB,9.839501845,47.0,1.296,1.257669314e6,1.0304775552470862
10.8,76.2,1193.8,216.09,36,IEEE HCB,9.807527424,47.0,2.3355,2.395751744e6,0.9748505895275266
10.8,76.2,990.6,111.43,36,IEEE HCB,9.852308353,39.0,1.7955,1.247906012e6,1.438810281170438
10.8,76.2,990.6,215.53,36,IEEE HCB,9.845844992,39.0,3.24,2.369342786e6,1.3674678139206153
10.8,76.2,787.4,112.07,36,IEEE HCB,9.865863178,31.0,2.5785,1.26706231e6,2.0350222555353255
10.8,76.2,787.4,215.66,36,IEEE HCB,9.883877701,31.0,6.075,2.376824466e6,2.5559312801183527
20.32,76.2,1193.8,112.44,36,IEEE HCB,19.65425256,47.0,2.6055,2.754915898e6,0.9457638985972414
20.32,76.2,1193.8,218.33,36,IEEE HCB,19.81272577,47.0,5.2245,4.595889568e6,1.1367766615579393
20.32,76.2,990.6,112.31,36,IEEE HCB,19.69323106,39.0,3.564,2.518791597e6,1.4149642250057102
20.32,76.2,990.6,217.43,36,IEEE HCB,19.9137462,39.0,8.8155,4.444080034e6,1.9836501441368954
20.32,76.2,787.4,112.85,36,IEEE HCB,19.75596212,31.0,5.913,2.614336152e6,2.2617596423001998
20.32,76.2,787.4,215.73,36,IEEE HCB,20.07212897,31.0,13.3515,4.472243747e6,2.9854142026485566
39.646,76.2,1193.8,113.57,36,IEEE HCB,39.09718568,47.0,5.751,5.341209943e6,1.0767223272204562
39.646,76.2,1193.8,218.45,36,IEEE HCB,38.35333181,47.0,10.935,9.307755721e6,1.1748267066494493
39.646,76.2,990.6,113.52,36,IEEE HCB,39.0531545,39.0,7.236,5.508020173e6,1.313720678706018
39.646,76.2,787.4,113.68,36,IEEE HCB,39.17050338,31.0,14.2695,5.662272303e6,2.5201013367795286
39.646,76.2,787.4,219.7,36,IEEE HCB,38.30352948,31.0,27.756,9.569997302e6,2.90031429728819
1.136,101.6,787.4,228.34,36,IEEE HCB,1.105968763,31.0,0.648,228241.7658,2.8390947543221294
1.136,101.6,990.6,227.67,36,IEEE HCB,1.10480534,39.0,0.351,181606.9592,1.9327453173942024
1.136,101.6,1193.8,245.53,36,IEEE HCB,1.090769087,47.0,0.34,185374.5254,1.834124722727409
2.703,101.6,1193.8,210.59,36,IEEE HCB,2.657077966,47.0,0.513,500343.0862,1.0252964698605642
2.703,101.6,990.6,210.88,36,IEEE HCB,2.656604611,39.0,1.026,406224.4655,2.5256972120995997
2.703,101.6,787.4,210.17,36,IEEE HCB,2.652008401,31.0,1.6875,514119.0992,3.282313383466692
10.076,152.4,787.4,211.18,36,IEEE HCB,9.950647575,31.0,8.235,2.755852155e6,2.988186425407135
10.076,152.4,990.6,206.2,36,IEEE HCB,9.95005604,39.0,5.1435,2.328702032e6,2.208741148210584
10.076,152.4,1193.8,205.91,36,IEEE HCB,9.92981766,47.0,3.213,2.31811971e6,1.3860371343807778
20.08,152.4,1193.8,215.37,36,IEEE HCB,20.06018477,47.0,6.156,5.365104805e6,1.1474146775777663
20.08,152.4,990.6,209.25,36,IEEE HCB,19.95731339,39.0,10.1385,5.452148289e6,1.8595422322710784
20.08,152.4,787.4,208.33,36,IEEE HCB,19.93940392,31.0,15.8085,5.496224149e6,2.87624732387893
38.958,152.4,990.6,219.5,36,IEEE HCB,37.69962899,39.0,20.9385,1.215888397e7,1.722074168292273
38.958,152.4,1193.8,220.7,36,IEEE HCB,37.69895938,47.0,15.741,1.246248958e7,1.263070263686431
0.521,38.1,609.6,400.0,26,IEEE HCB,0.46193441,24.0,0.298143828,94927.20741,3.1407626552447425
0.521,38.1,838.2,400.0,26,IEEE HCB,0.462089081,33.0,0.127464999,100130.4805,1.2729889876040292
1.037,38.1,1066.8,400.0,26,IEEE HCB,0.986299721,42.0,0.231253976,271245.6854,0.8525627814465505
1.037,38.1,838.2,400.0,26,IEEE HCB,0.988392552,33.0,0.51402798,264828.0603,1.9409875955656046
1.037,38.1,609.6,400.0,26,IEEE HCB,0.983712296,24.0,0.994160582,264757.2688,3.7549888110947305
2.5,38.1,609.6,400.0,26,IEEE HCB,2.396780052,24.0,3.096978198,773305.4041,4.004857824062889
2.5,38.1,838.2,400.0,26,IEEE HCB,2.374112012,33.0,1.227844525,716164.5331,1.7144726780662185
2.5,38.1,1066.8,400.0,26,IEEE HCB,2.380414386,42.0,0.942180883,746744.3453,1.2617181354369473
11.1,38.1,1066.8,400.0,26,IEEE HCB,5.622467125,42.0,3.224992143,1.455139278e6,2.2162772950727816
11.1,38.1,609.6,200.0,26,IEEE HCB,10.31377703,24.0,9.212714054,1.588962335e6,5.797943633446792
41.2,38.1,1066.8,200.0,26,IEEE HCB,39.55810974,42.0,10.57283581,6.65386512e6,1.588976575166886
