x,V,Ib,gap_mm,D_mm,t,width,height,width_in,height_in,Ia,IE,config,test,duration2,Iameas,Wh,D_in,IEmeas,Ia2002,IE2002,Ibf1,IErate,IEratemeas,joules,energyratio
3,14.4,8.195,254.0,1219.2,96.3,914.4,914.4,36,36,7.40222217,1.199444908,EPRI HCB,25,96.3,8.7,319.0,48,1.9,7.980656631,0.733457654,,12.455294994807893,19.73001038421599,1.1484e6,1.6544757924068267
3,14.4,8.195,254.0,1219.2,508.7,914.4,914.4,36,36,7.40222217,6.336008562,EPRI HCB,26,508.7,8.4,319.0,48,12.3,7.980656631,3.874453879,,12.455294991153922,24.17928051896993,1.1484e6,10.710553814002091
3,14.4,5.176,254.0,1219.2,342.6,914.4,914.4,36,36,4.677133243,2.594843486,EPRI HCB,27,342.6,5.3,692.0,48,4.3,5.080148004,1.60134428,,7.573973981319322,12.551079976649152,2.4912e6,1.7260757867694283
3,14.4,5.176,254.0,1219.2,342.6,914.4,914.4,36,36,4.677133243,2.594843486,EPRI HCB,28,342.6,5.3,683.0,48,4.9,5.080148004,1.60134428,,7.573973981319322,14.302393461762989,2.4588e6,1.9928420367659023
3,14.4,5.176,254.0,1219.2,510.4,914.4,914.4,36,36,4.677133243,3.86575632,EPRI HCB,29,510.4,5.2,1014.0,48,6.0,5.080148004,2.385657095,,7.573973981191223,11.755485893416928,3.6504e6,1.643655489809336
3,14.4,5.176,254.0,1219.2,763.2,914.4,914.4,36,36,4.677133243,5.780456943,EPRI HCB,30,763.2,5.2,1516.0,48,9.1,5.080148004,3.567267819,,7.573973981918238,11.923480083857442,5.4576e6,1.667399589563178
3,14.4,5.176,254.0,1219.2,758.6,914.4,914.4,36,36,4.677133243,5.745616662,EPRI HCB,31,758.6,5.2,1951.0,48,19.4,5.080148004,3.545766991,,7.573973981017663,25.573424729765353,7.0236e6,2.76211629363859
3,14.4,5.176,254.0,1219.2,758.0,914.4,914.4,36,36,4.677133243,5.741072278,EPRI HCB,32,758.0,5.2,1907.0,48,18.6,5.080148004,3.542962535,,7.573973981530343,24.53825857519789,6.8652e6,2.7093165530501664
3,14.4,5.176,254.0,1219.2,342.1,914.4,914.4,36,36,4.677133243,2.591056499,EPRI HCB,33,342.1,5.2,789.0,48,6.4,5.080148004,1.599007234,,7.57397398129202,18.70798012277112,2.8404e6,2.253203774116322
3,14.4,5.176,254.0,1219.2,342.2,914.4,914.4,36,36,4.677133243,2.591813897,EPRI HCB,34,342.2,5.2,828.0,48,7.2,5.080148004,1.599474643,,7.573973983050848,21.04032729398013,2.9808e6,2.4154589371980677
3,14.4,5.176,254.0,1219.2,509.9,914.4,914.4,36,36,4.677133243,3.861969333,EPRI HCB,35,509.9,5.2,1267.0,48,11.4,5.080148004,2.383320048,,7.573973981172779,22.35732496567955,4.5612e6,2.4993422783478034
3,14.4,5.176,254.0,1219.2,508.0,914.4,914.4,36,36,4.677133243,3.847578783,EPRI HCB,36,508.0,5.2,1226.0,48,10.3,5.080148004,2.374439271,,7.573973982283464,20.275590551181104,4.4136e6,2.3336958491934023
3,14.4,5.176,254.0,914.4,756.4,914.4,914.4,36,36,4.677133243,9.221160835,EPRI HCB,37,756.4,5.2,1624.0,36,12.7,5.080148004,4.677505051,,12.190852505288207,16.790058170280275,5.8464e6,2.172276956759715
3,14.4,5.176,254.0,914.4,758.6,914.4,914.4,36,36,4.677133243,9.24798071,EPRI HCB,38,758.6,5.2,1645.0,36,17.4,5.080148004,4.69110964,,12.190852504613762,22.936989190614288,5.922e6,2.9381965552178313
3,14.4,8.195,254.0,914.4,342.7,914.4,914.4,36,36,7.40222217,6.870344628,EPRI HCB,39,342.7,8.4,1222.0,36,14.2,7.980656631,3.453251849,,20.047693691275168,41.43565800992121,4.3992e6,3.227859610838334
3,14.4,8.195,254.0,1219.2,210.0,914.4,914.4,36,36,7.40222217,2.615611948,EPRI HCB,40,210.0,8.4,724.0,48,4.2,7.980656631,1.599440367,,12.45529499047619,20.0,2.6064e6,1.6114180478821365
3,14.4,5.176,254.0,1219.2,749.2,914.4,914.4,36,36,4.677133243,5.674421307,EPRI HCB,123,749.2,5.177837,1822.0,48,18.343308,5.080148004,3.501830516,,7.573973981580352,24.483860117458622,6.5592e6,2.7965770215879986
